pitch_range,avg_pitch,std_pitch,note_density,polyphony_level,vel_mean,vel_var,articulaftion,tempo,highest_note,lowest_note,chromaticism,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,filename,label
50,57.68503937007874,10.803689066212286,6.585739540365352,4.385416666666667,32.86614173228347,53.64349928699858,0.6625984251968504,168.757491010787,82,32,3.2122686748481977,0.12598425196850394,0.12598425196850394,0.007874015748031496,0.13385826771653545,0.015748031496062992,0.15748031496062992,0.11023622047244094,0.015748031496062992,0.08661417322834646,0.03937007874015748,0.14960629921259844,0.031496062992125984,brahms_opus117_2_chunk3.mid,Romantic
69,72.39864864864865,15.290095657021789,14.850627137970354,3.1758793969849246,60.516891891891895,145.32403898831265,0.215863022113022,174.95029821073572,97,28,3.3479959749265715,0.05405405405405406,0.10472972972972973,0.037162162162162164,0.09121621621621621,0.18243243243243243,0.02364864864864865,0.14189189189189189,0.04054054054054054,0.08445945945945946,0.08783783783783784,0.02702702702702703,0.125,brahms_opus1_3_chunk17.mid,Romantic
62,65.74609375,17.043429829884914,12.807276861853326,1.6180904522613064,49.2421875,225.94915771484375,0.12808061079545452,156.42258244829515,90,28,3.027380726556569,0.01953125,0.08984375,0.00390625,0.09765625,0.1171875,0.01171875,0.22265625,0.06640625,0.01953125,0.0390625,0.07421875,0.23828125,brahms_opus1_3_chunk3.mid,Romantic
62,61.664092664092664,14.263891293511465,13.012103219913223,2.5025125628140703,41.76447876447877,281.8711706742594,0.1863899613899614,171.64429530201343,92,30,2.963840243298667,0.011583011583011582,0.10810810810810811,0.019305019305019305,0.09652509652509653,0.13127413127413126,0.011583011583011582,0.27413127413127414,0.011583011583011582,0.05791505791505792,0.011583011583011582,0.08494208494208494,0.18146718146718147,brahms_opus1_3_chunk15.mid,Romantic
44,56.148148148148145,10.376982019349555,2.80188679245283,4.625,21.37037037037037,21.973936899862835,1.6411195286195284,86.58892128279886,76,32,2.8128727507613074,0.0,0.037037037037037035,0.07407407407407407,0.09259259259259259,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.18518518518518517,0.0,0.2962962962962963,0.037037037037037035,brahms_opus117_1_chunk8.mid,Romantic
53,62.285714285714285,12.836491350991578,5.359628770301624,4.98974358974359,27.16190476190476,45.126167800453516,0.9277705627705627,117.54229741763133,87,34,2.3339084336813585,0.05714285714285714,0.0,0.06666666666666667,0.37142857142857144,0.0,0.02857142857142857,0.0,0.22857142857142856,0.047619047619047616,0.0,0.2,0.0,brahms_opus117_1_chunk9.mid,Romantic
55,67.08510638297872,11.813256984909772,7.100835527068789,4.090909090909091,42.716312056737586,38.345053065741155,0.5771598968407479,214.43490368995117,98,43,3.0829305540465946,0.12056737588652482,0.0070921985815602835,0.1702127659574468,0.07092198581560284,0.02127659574468085,0.09219858156028368,0.028368794326241134,0.19858156028368795,0.0,0.1347517730496454,0.1276595744680851,0.028368794326241134,brahms_opus1_2_chunk6.mid,Romantic
70,67.44292237442923,18.029660561221842,11.013830152017373,3.282828282828283,79.40182648401826,144.1764350201205,0.295288501452885,219.93211971613698,100,30,3.1757748484796204,0.0,0.0958904109589041,0.1643835616438356,0.0045662100456621,0.1004566210045662,0.045662100456621,0.1552511415525114,0.1050228310502283,0.0319634703196347,0.0593607305936073,0.0639269406392694,0.1735159817351598,brahms_opus1_1_chunk20.mid,Romantic
55,66.5296803652968,14.7410768733637,10.967448213066241,5.376884422110553,56.93607305936073,111.71280832342944,0.48864674138646746,146.07645875251507,95,40,3.3357506584515355,0.0684931506849315,0.045662100456621,0.1643835616438356,0.045662100456621,0.0502283105022831,0.1095890410958904,0.045662100456621,0.1598173515981735,0.0410958904109589,0.1095890410958904,0.0182648401826484,0.1415525114155251,brahms_opus1_4_chunk13.mid,Romantic
54,68.92436974789916,12.637917911610181,6.002522068095839,2.9545454545454546,48.470588235294116,206.60207612456747,0.4925897631779984,213.8690861957226,96,42,3.4368101022654898,0.06722689075630252,0.03361344537815126,0.11764705882352941,0.06722689075630252,0.08403361344537816,0.12605042016806722,0.03361344537815126,0.1092436974789916,0.11764705882352941,0.1092436974789916,0.1092436974789916,0.025210084033613446,brahms_opus1_1_chunk15.mid,Romantic
